,0
2024-02-16,131.55006054062568
2024-02-23,51.91374203891521
2024-03-01,64.41005368160506
2024-03-08,107.76478625324191
2024-03-15,299.27570680981535
2024-03-22,130.07201455825447
2024-03-28,105.73045658641374
2024-04-05,257.1133402472717
2024-04-12,-163.87714339210115
2024-04-19,30.15905420135674
2024-04-26,39.56974173264221
2024-05-03,-232.15527171977777
2024-05-10,144.73112327628252
2024-05-17,81.44719485182405
2024-05-24,-213.61542973909977
2024-05-31,65.38581549394546
2024-06-07,-229.12925608889606
2024-06-14,12.849660482560964
2024-06-21,8.16708729385256
2024-06-28,183.58522745557713
2024-07-05,-65.77077192029425
2024-07-12,-44.98906205112576
2024-07-19,88.05426858118308
2024-07-26,37.388311636265385
2024-08-02,135.51732060820095
2024-08-09,86.85482880212035
